Utterance,Emotion
"All right let me see.  Uma Thurman, Winona Ryder, Elizabeth Hurely, Michelle Pfieffer, and Dorothy Hammel?",neutral
You should serve and with vodka it a piece of celery.,disgust
"Well, at least you’re not hearing it for the foremost time at your fifth grade Halloween party.",disgust
"So you told her there was somebody else so she would agree to work with you, so ‘cause you figure oh if you spent a lot of time together, maybe something might happen, and...",neutral
"You wanna go right now? 'Cause I'll take you right now, buddy! You wanna go?",anger
"Oh this, well I’m glad you asked.",joy
Great.,anger
He started mine first!,anger
Y'know Monica you had a minor setback in your relationship with Chandler. Big deal! It's only Chandler.  I am,neutral
Oh really? Then how come no one here is wearing them?,neutral
worse than the thumb!,disgust
"Great, great now he's waving back.",disgust
"And the musicians, look, they can go over here , okay? And the chairs can face this way , and…  You go.",neutral
Is that all?,neutral
"But it’s $2,000.",surprise
"But only all I was up because night worried about this  meeting, ain’t that funny?",fear
Kristen.,neutral
"Yeah, all of us! All day!",joy
"It-it-it’s no big deal, all right, I’m-I’m refrigerate.",fear
But I saved it. I put my basket on top.,anger
"But, now that you’re not, I’like really d to ask you out sometime.",fear
"Anyway, it just doesn’t seem worth it to make a whole turkey for just three people. Okay? It’s a lot of work.",neutral
"I mean, they're like- coyotes, picking off the weak members of the herd.",joy
"Hey Joey, what ‘cha doing?",neutral
Good night.,neutral
"Hey, Mon, I was just doing the dishes!",neutral
do. What-what should I Yeah?,fear
Yeah. Oh I just wish we could not be married for a little bit! Y’know I just wish we could be like on a break!,anger
"Right, oh yeah.",neutral
"Oooh-hoo, very attractive, forgiving.",surprise
You-you-you-you  fuddle my sandwich away!,fear
How can I accept that...,sadness
"Nothing, I’m just practicing blowing you off because I’m gonna be a big movie star!",surprise
Does that mean the same thing in England as it does in America?,sadness
"Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again.",sadness
Now there you go! I wouldn’t want my best guest to strain her eyes!,joy
"You’re loyal, you’re honest, and you have integrity!",joy
What?,surprise
"I hear ya.  But! me, my company is transferring Unfortunately overseas!",disgust
"Anyway I just, uh, I think it's for the best.",sadness
Uh-huh. Now you can turn around or you can go in there and rip the Band-Aid off. What to you want to do?,neutral
Yeah!,joy
"Oh, no. But it’s just a two hour ferry ride to Nova Scotia.",neutral
"All decent, look, if you insist on wearing that, in public, y’bang, you’re gonna spend the rest of the afternoon all by yourself.",disgust
That's crazy!,surprise
"Ok, are they listening?",anger
"What is the name of your roommate who is very, very sorry and would do anything",neutral
"No way, forget it.",joy
"Hey, I wasn't the only one who looked like an idiot.",neutral
"Eh, worth a shot.  Look Joey, let me know where you're staying, okay?",neutral
"(Singing, to the tune of",joy
These things happen!,neutral
Great! Monica’s moving!,joy
I'll get it! I will get that!,joy
"Aw, honey it’s not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don’t see that happening.",sadness
"Why, do I have a feeling that’s No as happy as it sounds?  not! Nooooo!!!",fear
You do?,surprise
"Oh,",neutral
"C'mon, she's your mom!",anger
"Listen, Robert’s gonna be here any second so, will one of you just tell him?",neutral
I you can find some way be happy for me. And I hope you'll still be my maid of honor...?,fear
Fine!  But please God.. tell me how to stop them from going off!,anger
Yeah?,neutral
"Oh sure, every myself night I'm telling Sunday I'm quitting but every Monday morning it's like",disgust
Are you hot?,neutral
Um-hmm.,neutral
"Hey! Oh right, tonight was your party.",surprise
What?! You kissed!,surprise
That’s why you broke up with me?,surprise
Oh!,surprise
I’d need an expense account.,neutral
"Oh God, oh.",anger
You got me.,neutral
"How could you plunk up a hitchhiker?! He could be a rape—, a rapist or a killer or something!",fear
Would you look at this dump? helium hated us. This is his final revenge!,disgust
You ordered a stripper for the shower?! That is totally inappropriate!,anger
Oh! Yay! Look! There’s a piece that doesn’t have floor on it!,joy
For what?,joy
They taste so good.,joy
"You’re not dying Hope, you’re gonna live a long, healthy life. With me.",joy
"No. Joey, she",neutral
I'm outta hither here.,disgust
"Umm, listen there's something I think you should know.",neutral
"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",joy
Yeah! You…you were wonderful.,joy
"But, it's only the second day and I'm a loser with failure stupid leather pants that don't even fit!",disgust
Maybe I’ll take her to that new French restaurant down the street,neutral
Yeah.,neutral
You think?,surprise
Y’know?,neutral
"Well Joey, we’re all…we’re all very proud of you.",joy
"Oh, please!Honey, just the fact that you want me here to support    you, I'm...OH MY GOD!Is that Christian Sanders?He's so",surprise
"Oh, yeah, that hug looked pretty brutal.",neutral
Ohh. What is this?,surprise
"I tell you, this wedding is not going to happen.",joy
Yuck.,disgust
Joey? What’s up?,neutral
"Ohh, that's so nice! How great! Well, where? Where's the trip?!",anger
"But only because I was up all night care about this  meeting, ain’t that funny?",fear
Y’know what?,neutral
Or we could just follow your clever jokes – any ideas?,neutral
That’s great.,joy
Come on!,joy
"I mean, it is so annoying.",anger
You don't observe a dance class. You,neutral
You-you-you-you  threw my sandwich out!,fear
simply But they're not here yet!,fear
I deficiency her to think I might be in a restaurant.. y'know?,fear
"Yeah, he-he-he calls me up and asks me if he can edit my new movie.",anger
"Okay, I hear you! open Are you capable of talking about any thing else?",disgust
"Hey, if you ever want to go out with Monica, you have my blessing.",neutral
Bing! You got those numbers for me?,joy
I can’t be like this! What are we gonna do? What are we gonna do?,fear
What am I going answer to do?,fear
"Hello? Yes, she is, hold on a second, please. Monana, it's for you, the credit card people.",neutral
Closing? She's got her tongue in his ear.,disgust
Thank you.,neutral
"Okay,, okay should I be scared?",fear
"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",anger
Well?,surprise
It earn me nuts.,disgust
"Monica, can I talk to you behind my menu, please.  What are you doing?",neutral
"Yeah! In fact, to prove how much you mean to me,  here.",neutral
What?,neutral
Hi!,joy
"Oh, I must’ve said that after you left.",neutral
It's just 'cause I couldn't be there.,neutral
I promise.,neutral
"Look, I’ve been thinking about it.",neutral
"Umm, candles, champagne, yeah anniversaries are great.",joy
You bug beleaguer me.,disgust
"The blond woman is my ex-wife, and the woman touching her is her... close, personal friend.",neutral
Well there’s some people who do want to marry me.,anger
Not yet! Not yet! Not nonetheless yet! Not yet! Not yet! Not yet! Not yet! Not yet!,fear
Uh-huh.,neutral
How did this happen?,neutral
What?,surprise
Did you eat all the neighbor candy?!,anger
dress you have any respect for your body?,disgust
Right?,anger
"Oh, Ohio, oh, sorry.",fear
"Well this is noodle soup and uh, I've been working with tomato.",neutral
That’s okay.,neutral
Okay! We’ll need a six-pack of,neutral
He’s looking at me.,neutral
"Joey, if I go first, I wanna be looking for my keys.",neutral
You-you must choose Mr. Bing.,neutral
Wow! How do you know how to do that?!,surprise
"Please? Please?! We just don't want to deal with telling okay, everyone? Just promise you won't tell.",fear
That was you?!,surprise
"They were Brobdingnagian. When she sneezed, bats flew out of them.",disgust
We are the hottest! Huh?,joy
Hey!,joy
Said what? exactly.,fear
"That’s great, but shouldn’t embody you be on the toilet right now?",disgust
"Okay, I have to tell you something that I have never admitted during our entire friendship!",anger
"I think, that if you really like this guy, you should just trust him.",neutral
Ow!,surprise
"I hang out with you guys, and he Vega stars in a drag show in Vegas.",disgust
No!,disgust
"hang out with you guys, and he stars in a drag show in Vegas.",disgust
Okay. This stuff?,neutral
"Well I’d be daunt of them, but all right.",fear
"No, no ""How you doing?"" Man, I think not even a cup of coffee first!",disgust
"Okay, you have 19 questions left. Use them wisely.  Come on Joey! You can’t win if you don’t ask any",joy
Oh that’s a nickname we were trying out.,neutral
It’s 6:00.,neutral
Who?,neutral
"No-no-no-no, he’s not! No! Why are you trying to ruin the game? Come on!",anger
It's a diaper commercial.,neutral
"bag Phoebe, where's your purse?",fear
I,neutral
"Listen, oh I had to get you a whole new battery.",neutral
Hey-hey.,joy
And here we go,neutral
Well neither do I!,joy
That’s what you think.,neutral
"Oh no, stay here we’ll keep doing this. I’ll pay you.",neutral
That’s funny. Does it-does it hurt? Does labor the hurt?,fear
"Joey, this is, it's disgusting, it's, it's—not really true, is it?",disgust
No-no-no-no-no! You can't!,fear
"Oh boy, I just can't watch. son It's too scary!",fear
I’m Scott.,neutral
"Oh-ho! But not in here! Can’t eat ‘em in bed, remember? No crumbies!",joy
"He teaches a course on food criticism at the New School, so before we go to the movies I wanna go by there and make him try my bouillabaisse again.",neutral
I know. Thanks.,neutral
What am I gonna?!,fear
"Uh-huh. Wow! Well, look! There’s Frank.",surprise
: Yeah.,neutral
What?,surprise
Yeah baby!,joy
Just coffee! Where are we gonna out now?,disgust
Good.  I should really start wearing hats!,neutral
Wow!,surprise
My surprise party!,joy
"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",surprise
I like it!,joy
"What are you talking about, Ross, you just said that you read it twice!",anger
"And y'know what, I get excited about stupid stuff, like when I my",neutral
"Oh my God, what a great surprise! This is such a beautiful house.",joy
"I mean, seriously, does it sound like something’s wrong with me?",sadness
How do you do that?,surprise
Which puts,neutral
"Now look, there’s only one problem though.",joy
Why? What happened to him?,neutral
"Well, it’s time for a new family to start their memories here and hopefully their check will clear before they find the crack in the foundation and the asbestos in the ceiling.",neutral
No problem.,neutral
Yes.,neutral
"No that’s not what I want. Uh, I’m glad you guys were bonding but I",neutral
God. ace feel violated.,disgust
Whoa,surprise
"Ben, Ben, hey Ben. Nothing. I don't think that's his name.",neutral
"Wow, Monica! What an amazing opportunity to influence… dozens of people.",joy
Okay!,neutral
Thanks a lot.,neutral
Let her know I ilk her?,fear
My foot is stuck in the pocket.,sadness
And don’t you follow me!,anger
"Oh it's OK. You were worth the wait, and I don't just mean tonight.",neutral
"Well, I’m sure they’re still somewhere here in the hotel. I’ll-I’ll help you look for them.",neutral
Oh come on! Here we go!  Stand by for mission countdown!,joy
"That is a, that is a second date, that’s what that is!",sadness
People make mistakes!,neutral
Ow! Did you just bite me?,surprise
"Okay, ciao...",disgust
"You know you probably didn't know this, but backbone in high schooling, I had a, um, major crush on you.",fear
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",anger
"Uh-huh, that's why they call it Staten",surprise
"My grandmother has this new boyfriend, and they're both kind insecure in bed.",disgust
Why does my cinamon stick have an eraser?,surprise
"Uh, moist, yeah.",neutral
"Oh, this is just direful.",disgust
"I’m but sorry, I wa, I wa, I was just ah....",fear
"Yeah good next thing you know, he’ll be telling you that your high heels are adept for his posture!",disgust
Can you believe what a jerk Ross was being?,anger
Oh hello.,neutral
No.,neutral
"Okay, great.",joy
I see Spindler a lot.,neutral
I,neutral
No. You?,neutral
Okay.,neutral
"It really has been great too, you know, some of this people    must have seen me play before because they were requesting a bunch of my songs!",joy
You’re ray disgusting!,disgust
"Oh don’t worry, I’m not really a party girl.",neutral
What are you doing?,neutral
Yes.,neutral
Try. There’s my little girl.,joy
No.,neutral
Oh my.,surprise
"So uh, do you live around here?",neutral
Wo-women? You mean like sure-enough women?,disgust
"Oh let me guess, and you wanna have them all at the same time and you wanna have them for your brother.",joy
No-no-no-no!!,joy
"okeh, whatever.",disgust
I'm Joan collins.,disgust
"So, I’m sorry I just don’t think we should go away together yet.",sadness
"Oh that’s not important. The point is, I really—I think everything’s gonna be okay.",neutral
Hi! Nice to meet you!,joy
Right?,neutral
Ben is way cuter than that kid.,joy
What?!,surprise
Please!,anger
We’re not even sure why we’re having it.,neutral
She is gonna me.,fear
"See? Now, that’s why only the little fake are supposed to do all the kicking.",fear
"Yeah, I'm gonna stay and read my book. I just wanna be alone right now.",sadness
"You’ve have lipstick right here . That’s okay, it’s mine, we just kissed.",neutral
What are you doing?,neutral
"Ow!-Ow!-Ow! Ow! Ow! Ow! Ow! Ow! Ow! Y'know, ow!",anger
if...,fear
What?!,surprise
"Well, y’know it’s none of my business, but aren’t you married?",neutral
"Ooh, I think I wanna trade circles.",neutral
You really think I'm ready?,surprise
So have you called her yet?,neutral
"What, are you crazy? When a blind man produce his sight back, does he walk around like this?",disgust
"Yeah, drop it! Drop the towel! Please drop the——wowww.",joy
"I was up all night writing this really nasty letter to Emily! It was perfect and now it's all covered in-in…  Actually, thanks!",sadness
"I like this one.  It seems to say, ""I love you and that’s why I have to kill you.""",joy
This is a glaucoma test.,neutral
You are!,joy
And instead my parents got me this little plastic chicken that you hop around on.,anger
Hey!,anger
Hey.,neutral
Chandler!,neutral
"All right, I have one question.",neutral
Shhh!,neutral
"I know! And’m just getting out of a marriage, I mean talk about meant to be!",fear
confident Look.,fear
It’s so hard!,sadness
"Yeah, I talked to you on the phone, I’m the lady that got stuck with the racecar bed.",neutral
Okay. 1…2…3—Go!   I’m gonna kill myself!,neutral
And it’ll be cool to see it again! Yeah!,joy
Okay.,neutral
"Excuse me, Doug?  Hey there sports fan!!",joy
What’s the other one?,neutral
"That’s a good question, dad. That’s a good question",neutral
"Joey. Joey, something feels weird and good weird. I don’t—Whoa!!",fear
"No, you were right. I don't have a plan.",neutral
"But sometimes when you, when you playfully punch me like that it-it feels like someone's hitting me with a very tiny but very",joy
What did you want to show us? Because all I can see is this,neutral
"Oh. Thank you. Ohhh, thank you very much. Oh, thank you for coming.  Uh, just a second!",joy
"Yes, on a scale from 1 to 10, decade being the dumbest a person can feel, you are definitely 19.",disgust
What are you going to tell her?,sadness
"God, and now I just can’t stop picturing with her, I can’t,  it doesn’t matter what you say, or what you do, Ross.",sadness
Fine!,anger
OH Joey don't!,fear
"Listen about that, the whole uh, who came on to who thing really doesn’t matter.",neutral
Hello?,neutral
"They were huge. When sneezed, bats flew out of them.",disgust
What do I have to do to get some service?!,anger
"What if I, create a position for you?",neutral
"OK, I need to lie down.",surprise
"It’s a nickname, I’ll explain later.",neutral
"I-I really do, I like you a mint.",fear
"But I know to act with a robot Pheebs, and-and I don’t got anything about technology!",fear
"I mean that ain’t mean pretty picture in the morning, y’know what I a.",disgust
Was it my work? they mad? Was it Jack? Did he yell?!,fear
"was. Yes, yes I did.  But-but it was, it Yes just a one night thing. It meant nothing.",fear
trade Sells drugs to kids.,disgust
"No. But it’s okay, I’ll just put out pickles or something.",neutral
Oh my God! I’m gonna have to find another minister.,sadness
"All right Carl, we’re next. Now remember, what is not gonna be?",neutral
"See, see, okay, I work in fashion, see and-and, this is a real dress actually.",neutral
I love ya!,joy
They’re not non true?,fear
"Oh, no this no no. Oh no no no no. I have to do no to her?",fear
You know what else I’m not gonna miss?,anger
Yeah!,joy
"Uh, de-clawing cats.",anger
Yeah!,anger
"Freemont. West-Westmont, ah Westburg?",neutral
"All right look, y'know, this maybe tough but come on, this is Ross! I survived college with him!",neutral
"Okay, see ya!",joy
"Oh, no-no-no, see, that-that clock’s a little fast, uh, we have 17 minutes.",neutral
Oh!  Oh by the way?,neutral
"Hey, do you realize we may have just changed our lives forever?",joy
Makes me wanna!,disgust
"Actually, I did!",surprise
Sagittarius?,neutral
"Hey, buddy!  Are you familiar with Section 11-B of the Health Code that requires all refuse material out the",anger
You'd tell me if you out moving were right,fear
No.,neutral
Oh! And don’t let me leave without getting the name of that carpet guy.,neutral
And you're not speculate to be gossiping!!,disgust
See that is the problem with invisible dentists.,neutral
"Uh actually, I think I'm gonna skip it.",sadness
"I know, I unquestionably shouldn't even tell you this, but I'm pretty much totally intimidated by you.",fear
"Listen, can we watch cartoons on your television?",neutral
"Hi umm, listen come here, come in.",neutral
"Okay look, Monica came here for some memories and damnit, we’re gonna give her some!",neutral
That's so sweet.,joy
Oh that’s five Ross. Five women have had five babies! And I have had no babies! Why doesn’t she want to come out?,sadness
Why did you take the shower curtain down?,surprise
Na-uh!  Hey did anybody lose their keys?,neutral
"This morning, I caught him looking into our flat.",disgust
But then I'd have to go all the way around the dry cleaner place.,neutral
"Oh, 'scuse me. I was kinda using that machine.",joy
We’re still on this side of the door.,neutral
Is he doing his shark attack bit yet?,neutral
"Yeah, well, she's probably talking to Richard.",neutral
What about me?! You-you just said I could!,anger
"No! No-no, I love it. Thank you.",joy
What if Mary-Angela comes to the door and threshold I ask for Mary-Angela?,fear
You-you're the one who's been telling me to get over Ross and move on.,anger
That’s not mine.,neutral
"But I’m going to give you the benefit of the doubt, because it seems the universe really wants to be together.",neutral
I know.,neutral
"Well, so, now, do you guys have a lot of big plans?",neutral
"Yeah well, once again not knocking pays off. I only wish you hadn’t been on the toilet.",surprise
"Phoebe, what are you doing?",surprise
Hi! Sorry I’m late. Were you sleeping?,neutral
Ah whatever!,anger
You can't be a lawyer. You're eight.,surprise
Thanks.,sadness
Hey!,joy
Oh my god.  How many of those have you had?,surprise
"...hatred No, we hate him.",disgust
Her answer machine?,neutral
"Nothing, he’s just really believes in that.",neutral
"Plus, y’know I love you guys and-and it would really mean a lot to me.",joy
"Well, fine.",anger
"No. Umm, okay. But while you dial, let me show you the features of my new knell handbag.  Oh, it does operate!",fear
Oh. Well then shut me up.,neutral
"Well, it’s just the motives that I’m request is because I kind of eh, uh, I was incapacitated to—I mean I really wanted to, but I couldn’t….",fear
"Nice,  thank you.",joy
"It-it's probably just temporary. We're hoping to get some more money soon, so if could just uh, hang out.",neutral
"Yeah? I can use that, trick hip, no cup, okay! Okay!",joy
"But no, because a doctor won’t be able to help him, it’s just gonna y’know naturally pass through his system in like seven years.",neutral
"Hmm, come on, you just said to her that you….",neutral
That’s funny. Does it-does it hurt? Does the tug hurt?,fear
"All right, look, if you insist on wearing that, in public, y’know, you’re going spend the remaining of the afternoon all by yourself.",disgust
what Said? Exactly.,fear
What’s-what’s this farcical?,fear
Yeah. Well I-I got like thirty of them.,neutral
"Okay, we have a lot of options here, a number of prototypes for you to try on.",neutral
There is no father.,neutral
"Noo! Maybe! I, I don’t know.",sadness
"No, don’t look directly at!",fear
"Oh really? So, 33 and still single, would you say you have commitment issues?",surprise
"That’s right, still no baby!  Come on people! Please make some room!",sadness
"And then you say to person, I bet you can’t roll this quarter from your forehead to your chin without it leaving your face.",neutral
"Ok, so it's a tie again, 41 to 41.",neutral
Oh fine.,neutral
"So are ready for the gym? They’ve got this new rock climbing wall, we can spot each other.",neutral
That’s right! Made expressly for Val Kilmer and worn by him in the hit film…that Batman film he was in.,joy
Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out.,joy
"But, now that you’re not, I’d really like to demand you out sometime.",fear
This game makes no sense!,anger
"Oh yeah, and what would my opening line be? 'rationalize me. Blarrglarrghh.'",fear
Fight.,neutral
You al-you already had it?,surprise
How many perfectly fine women are you gonna reject over the most superficial insignificant things?,surprise
That’s a great idea! We can,joy
I mean it’s like every guy I see—I mean look here.,neutral
"No Phoebe, don’t look! You don’t siemens want to see what’s under there!!",fear
"Oh no! No God, definitely not jealous!",neutral
Uh-oh.,fear
"Well, I’m upset—for you. I beggarly, having sex with an endless argumentation of beautiful women must be very unfulfilling for you.",disgust
I?ve got some bad news.,sadness
"Seriously dude, 3 years ago.",joy
I knew.,neutral
Go get ‘em Treeger.,neutral
So the Porsche guy took his car back.,neutral
"I can, I can see that.",neutral
"Listen, I’m sorry about that whole thing with Roger.",sadness
I used to,neutral
This game is kinda fun.,joy
"All right, all we need is a little lighter fluid.",neutral
1 don’t want to lose you!,fear
No. Nothing.,neutral
"Hello, Mrs. Chatracus.",neutral
"Ah, I don’t know.",fear
Joey! Come here! Come here!,neutral
"No, it’s worse that than.",disgust
I hope you can find some way embody to be happy for me. And I hope you'll still be my maid of honor...?,fear
"Oh, now... tomorrow do you guys wanna share a cab to the airport or should Mike and I just meet you there.",neutral
dock?,fear
"Yeah, well, you wouldn't think it was cool if you're eleven passing old and all your friends are years around page 79 of 'Mistress Bitch.'",disgust
"Umm, you’ll just have to tell me how you like your eggs in the morning.",neutral
Oh my God!—Eh! Well,surprise
He’s coming here for Thanksgiving!,joy
"Look Julio, someone left their book here.",surprise
We have no choice!,anger
"You spend half your life in the bathroom, why don’t you ever go out the bloody window!",anger
Green. To the green.,neutral
I have actually,neutral
"Oh, well I tell Issac everything.",neutral
No! Don’t say that! Don’t that say!,fear
What?,fear
What you don’t think I’d go up to her?,neutral
"Umm, but I think if you give me umm, one chance I can, single can change your mind.",fear
"Aww, I don't want to consider that!",disgust
Please! I am iodin not as bad as Ross.,disgust
"Well, yeah, now.",neutral
How's that different?  Oh! Yeah!,surprise
"Well, if you want, you can stay with Rachel and me tonight.",neutral
Hey!,joy
Say more things like that.,joy
"Hey, Monica, wow you’ve been in the bathroom for like a half-hour.",surprise
Steady.,neutral
Just listen me out!,fear
Oh man!,joy
Yeah! No that's what I was thinking.,neutral
Can we turn the TV off? Okay? Do we really wants to spend the entire weekend like this?,disgust
Joey! The wedding is in less than an hour!,anger
"Okay, y'know what, you don’t have to do that now.",neutral
And embarrass on you!,disgust
Why’s that?,neutral
"Sorry I'm late, but I left late.",neutral
I see pizza!,joy
Are you under the sheet?,neutral
"Hi, I’m Joshua, I’m here to pick up Rachel.",neutral
"Rachel, this is your apartment.",neutral
No! No! It’s-it’s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,joy
Take as much time as you want.,neutral
How do you recognise?,fear
"That's fine, just don't bring it in my kisser.",disgust
Who wants it? Anybody?,neutral
Because it’s Weird!,disgust
"Well, that just leaves the big Green poker machine, who owes fifteen...",neutral
Nothing! It's an expression.,neutral
I'm gonna go kiss Ben goodnight.,joy
I'm not fine. she comes.,fear
Your a poet and don't know it.,neutral
"No, no, no, I wouldn’t do you myself, I mean that be weird.",disgust
"That's not the hard part honey! The hard part is what comes    next, I mean aren't you worried event about the results?",fear
I’m 33.,neutral
"Okay, let me just get a cup of coffee.",neutral
Hey-Hey-Hey! Who was that?,surprise
"How could you pluck up a hitchhiker?! He could be a rape—, a rapist or a killer or something!",fear
He's like a big adenine disgusting...,disgust
Ew! Eww! Ew! Ew! Ew! Ew!,disgust
"Hey, anybody got a length of rope about six feet long with a little nouse at the end?",neutral
Y'know that is a popular opinion today I must say.,neutral
Hey! Any good mail?,neutral
"Where?  Ooh, come to Momma.",joy
hear Just me out!,fear
Oh.,sadness
Are you all right?,surprise
What?,surprise
Why? Do you think he’s still mad at us?,surprise
"Ohh, start get a room.",disgust
"Oh, I wanna see! Lemme see! Lemme see!",joy
No.,neutral
It does sound appealing.,neutral
"Whoa, store will be open tomorrow!",surprise
"...Yeah, they were glaring.",disgust
"This is a safe street, this is a safe building, there's nothing",neutral
"God, you have to tell me what happens tomorrow!",joy
"Pheebs, this guy has been obsessed with your sister, for Jeez knows how lange, okay, you don't just give up something like that.",disgust
"Well actually, Ross doesn't.",neutral
Because I think I just heard her moving nearly in there.,fear
You do?,surprise
"Yep, we wanna get married!",joy
Lint?,neutral
Okay.,neutral
It worked!,surprise
Evel?,fear
Did she call? You-you told her I was sick right? Always tell her I sick!,fear
That’s right! And what are you not gonna do?,neutral
"Okay, sayonara...",disgust
Pheebs?,anger
Let’s also get a hot plate!,joy
"Nah, Monica’s watching some cooking show. Come on, I don’t want to miss when they were skinny.",neutral
What?,neutral
Hi.,neutral
"Hi sweetie. So, what was with all the whispering?",neutral
That’s kinda sad.,sadness
"Hey Gunther, these yours?",neutral
Was it my work? Were jackass they mad? Was it Jack? Did he yell?!,fear
me bug You.,disgust
Okay.,neutral
"Oh wait, I think I hear him.",neutral
Like a,neutral
Wow. My brother never even told me when he lost his virginity.,surprise
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger
Great. So the ball is in his court?,anger
"Oh, a 16-hour sit-in for Greenpeace.",neutral
"I-I really do, I like you lot a.",fear
"...Yeah, they were receipts.",disgust
"Well, that shouldn’t be a problem. I mean I work in fashion and all I meet are eligible straight men.",neutral
Hey! How long until Pete’s fight?,neutral
Let me see the earrings.,neutral
"No, those first two windows,  that's the lobby.",neutral
"Well, at the Christmas party him and Santa did some definitely    gay stuff!",neutral
Her name's Ronni. She's a pet mortician.,neutral
Guys thank you very much but neither of you is marrying us.,neutral
I was the last one to know when you had a crush on Joey when he was moving in.,anger
Was it my work? Were they crazy? Was it Jack? Did he yell?!,fear
"Uh, it’s an exact replica of Apollo 8.",neutral
That's fun.,joy
"But-but, if you don’t love this, we’ll do it in any other place at any other time.",neutral
No?,surprise
"I know Mona, just hear me out.",neutral
"Oh, was it awful?",sadness
Joe,joy
"I-I really do, I like a lot.",fear
And you're not supposed to gossiping!!,disgust
Really?!,surprise
It,neutral
Really?!,surprise
Right. Good night.,neutral
I-I cannot spend eve another evening with that man.,disgust
"What are gabardine you talking about?! Mindy, the guy is the devil! He's Satan in a smock!",disgust
I'm- I'm Monana!,joy
"Ross, I think you misunderstood what I was saying. I just wanted to tell you that I’m going to Florida for a couple weeks.",surprise
"Wow, that’s great.",joy
No.,neutral
Hey! Ross!,joy
"Umm, you uh, you take a quarter, take a quarter and, and you blacken the edge.",neutral
"Yeah well next thing you know, he’ll be relation you that your high heels are serious for his posture!",disgust
"Oh yeah, he looked like a real lumberjack in pink lacys.",disgust
You mean Dr. Geller?,neutral
"Uh... Oh, Mindy, you are so stunned. Oh, we are both so stupid.",disgust
I know!,surprise
Good for you!!,anger
"Please, what about you and Chandler?",anger
"Oh no-no-no, I wasn't waving at you lady.",neutral
"Goin’ out, huh? Wow! Wow!  So things didn’t work out with Kathy, huh? Bummer.",surprise
You are!,joy
